,onet_code,last_location_in_india,year,mean_salary,n_individuals
0,17-2199.06,Karnataka,1992,94459.6412109375,20
1,13-1111.00,Telangana,1998,78960.38733552632,19
2,13-2051.00,Chandigarh,2009,90645.046875,1
3,13-2051.00,Chandigarh,2019,79295.74609375,2
4,11-2022.00,Gujarat,2021,84062.86662946429,7
5,11-9032.00,Maharashtra,2006,65655.6318359375,4
6,15-1251.00,Maharashtra,2000,74978.54869791666,30
7,11-9041.00,Andhra Pradesh,2020,109035.0546875,1
8,11-1011.00,Goa,1996,108545.609375,1
9,11-3031.03,Gujarat,1999,132771.91927083334,3
10,11-3012.00,Gujarat,1980,79508.0625,1
11,41-9021.00,Gujarat,2009,142494.75,2
12,41-9021.00,Gujarat,2010,110876.37109375,4
13,11-3031.03,Maharashtra,2007,161560.65407986112,18
14,11-1011.00,Andhra Pradesh,2015,199593.4287109375,8
15,15-1299.06,Telangana,1998,55763.98828125,5
16,13-2011.00,empty,1987,40523.0859375,1
17,13-2051.00,Maharashtra,2010,101063.9365234375,8
18,13-2051.00,Maharashtra,2013,103703.61111111111,9
19,15-1211.00,Delhi,2016,93220.11328125,4
20,11-3031.00,Delhi,2022,201800.248046875,4
21,13-1199.04,Tamil Nadu,2009,108217.859375,1
22,19-1011.00,empty,1997,95039.22802734375,8
23,19-3093.00,Jharkhand,2019,99764.20703125,2
24,17-1011.00,Telangana,2022,140606.171875,2
25,15-2051.01,Telangana,1993,38675.21875,1
26,15-1299.06,Telangana,2023,102625.90625,3
27,11-2021.00,Telangana,2000,133851.71847098213,14
28,53-6051.07,Chandigarh,2020,56752.07421875,1
29,15-1243.00,Tamil Nadu,2019,96312.453125,2
30,15-1211.00,Uttarakhand,1998,67623.875,1
31,19-1011.00,West Bengal,2003,80527.05598958333,6
32,27-2012.04,Karnataka,2020,93267.2890625,2
33,15-1231.00,Uttar Pradesh,1999,83502.3125,1
34,15-1252.00,Uttar Pradesh,2017,131540.81597222222,9
35,17-2199.06,Telangana,1995,69141.89778645833,6
36,17-2199.11,Gujarat,1991,53621.83203125,1
37,41-4012.00,Maharashtra,2021,50568.1484375,1
38,25-3031.00,Karnataka,2012,44170.810546875,3
39,15-1244.00,Tamil Nadu,1997,110221.0625,1
40,25-1123.00,empty,2023,113571.91967773438,32
41,19-1021.00,Telangana,2006,109769.515625,1
42,27-1021.00,Karnataka,2009,175593.76302083334,3
43,11-3071.00,empty,1987,17165.31640625,1
44,27-2012.05,Karnataka,2021,113996.05078125,4
45,13-2011.00,Maharashtra,2007,55006.05078125,2
46,25-1123.00,West Bengal,2001,119763.69487847222,9
47,25-1123.00,West Bengal,2011,125813.53645833333,12
48,25-1123.00,Uttar Pradesh,1968,78241.8154296875,2
49,41-9091.00,Rajasthan,2023,202088.25,1
50,19-3011.01,West Bengal,2011,170431.234375,1
51,17-2031.00,Rajasthan,2005,118777.4765625,1
52,17-2051.00,Punjab,1995,55256.8203125,1
53,25-2032.00,Telangana,2006,112607.8515625,1
54,11-2021.00,Maharashtra,2004,179275.9673828125,20
55,11-1021.00,Maharashtra,1990,53627.408984375,5
56,11-3031.03,Maharashtra,2012,186833.50694444444,18
57,11-3121.00,Jharkhand,2017,134894.875,1
58,15-1299.03,Gujarat,2015,48533.9765625,1
59,35-1012.00,Kerala,2010,64196.352864583336,3
60,19-1011.00,Uttar Pradesh,2017,171456.3890625,5
61,13-2011.00,empty,2012,109020.68229166667,3
62,15-1251.00,Gujarat,2008,64251.349609375,2
63,19-1011.00,Andhra Pradesh,2012,81026.0966796875,4
64,19-1011.00,Karnataka,1976,70856.51432291667,3
65,49-9071.00,Punjab,2020,43361.09375,1
66,15-1299.07,Jharkhand,1993,85605.1875,1
67,43-4051.00,Gujarat,2022,32330.69970703125,4
68,11-3051.01,empty,2015,93835.06171875,5
69,19-3093.00,empty,1999,120180.76171875,7
70,27-2012.04,Gujarat,2016,173602.5,1
71,17-2112.02,Maharashtra,2018,93052.984375,1
72,11-3031.03,Maharashtra,1992,88892.732421875,4
73,25-1123.00,Chandigarh,2023,110533.4375,2
74,17-2071.00,Maharashtra,1993,88039.5625,1
75,17-2199.06,Maharashtra,1991,81863.4873046875,16
76,35-1012.00,Gujarat,2012,37419.08984375,1
77,11-9051.00,Maharashtra,2011,77276.546875,1
78,15-1244.00,empty,1993,100512.25,1
79,25-3031.00,Karnataka,2018,32314.416015625,1
80,17-2072.00,Tamil Nadu,2006,127482.3359375,3
81,17-2141.00,Delhi,2007,127387.15104166667,3
82,17-2112.02,Madhya Pradesh,2013,85110.859375,1
83,17-2199.08,Tamil Nadu,1983,20926.0859375,1
84,27-4032.00,Tamil Nadu,2022,59510.6796875,1
85,11-3021.00,Uttar Pradesh,2018,195293.796875,1
86,13-1081.01,Delhi,1995,53496.55859375,1
87,27-1011.00,empty,2014,130535.2060546875,4
88,15-1252.00,West Bengal,1999,90435.01041666667,6
89,25-1123.00,Uttarakhand,2006,150577.5078125,2
90,17-2072.00,Maharashtra,1986,119015.54817708333,3
91,13-2072.00,Gujarat,2021,31941.13671875,1
92,15-1244.00,Tamil Nadu,2009,82303.3671875,1
93,27-1021.00,empty,1990,42884.20703125,1
94,25-9042.00,Karnataka,1994,33475.888671875,4
95,17-2031.00,empty,2022,97153.3984375,4
96,49-2095.00,Gujarat,2001,43589.6328125,1
97,17-2171.00,Karnataka,2013,161104.125,1
98,21-1012.00,Gujarat,2011,102575.578125,1
99,19-3051.00,Maharashtra,1988,63018.52734375,1
100,53-4041.00,Gujarat,2022,28661.5419921875,2
101,49-9071.00,Delhi,2005,88596.671875,1
